Time,Utilization (%)
2024-01-23 23:33:13,0.4876
2024-01-23 23:31:13,0.4907
2024-01-23 23:30:13,0.4753
2024-01-23 23:29:13,0.4810
2024-01-23 23:28:13,0.4745
2024-01-23 23:27:13,0.4806
2024-01-23 23:26:13,0.4752
2024-01-23 23:25:13,0.4855
2024-01-23 23:24:13,0.4801
2024-01-23 23:23:13,0.4813
2024-01-23 23:22:13,0.4823
2024-01-23 23:21:13,0.4811
2024-01-23 23:20:13,0.4777
2024-01-23 23:19:13,0.5014
2024-01-23 23:18:13,0.4782
2024-01-23 23:17:13,0.4856
2024-01-23 23:16:13,0.4822
2024-01-23 23:15:13,0.4876
2024-01-23 23:14:13,0.4813
2024-01-23 23:13:13,0.4874
2024-01-23 23:12:13,0.4838
2024-01-23 23:11:13,0.4881
2024-01-23 23:10:13,0.4859
2024-01-23 23:09:13,0.4828
2024-01-23 23:08:13,0.4818
2024-01-23 23:07:13,0.4890
2024-01-23 23:06:13,0.4847
2024-01-23 23:05:13,0.4868
2024-01-23 23:04:13,0.4925
2024-01-23 23:03:13,0.4884
2024-01-23 23:02:13,0.4912
2024-01-23 23:01:13,0.4876
2024-01-23 23:00:13,0.4751
2024-01-23 22:59:13,0.4774
2024-01-23 22:58:13,0.4725
2024-01-23 22:57:13,0.4843
2024-01-23 22:56:13,0.4737
2024-01-23 22:55:13,0.4794
2024-01-23 22:54:13,0.4758
2024-01-23 22:53:13,0.4821
2024-01-23 22:52:13,0.4712
2024-01-23 22:51:13,0.4718
2024-01-23 22:50:13,0.4708
2024-01-23 22:49:13,0.4747
2024-01-23 22:48:13,0.4726
2024-01-23 22:47:13,0.4830
2024-01-23 22:46:13,0.4768
2024-01-23 22:45:13,0.4766
2024-01-23 22:44:13,0.4724
2024-01-23 22:43:13,0.4780
2024-01-23 22:42:13,0.4717
2024-01-23 22:41:13,0.4853
2024-01-23 22:40:13,0.4766
2024-01-23 22:39:13,0.4813
2024-01-23 22:38:13,0.4729
2024-01-23 22:37:13,0.4818
2024-01-23 22:36:13,0.4816
2024-01-23 22:35:13,0.4826
2024-01-23 22:34:13,0.4952
2024-01-23 22:33:13,0.4907
2024-01-23 22:32:13,0.4858
2024-01-23 22:31:13,0.4939
2024-01-23 22:30:13,0.4799
2024-01-23 22:29:13,0.4852
2024-01-23 22:28:13,0.4733
2024-01-23 22:27:13,0.4829
2024-01-23 22:26:13,0.4779
2024-01-23 22:25:13,0.4882
2024-01-23 22:24:13,0.4793
2024-01-23 22:23:13,0.4845
2024-01-23 22:22:13,0.4863
2024-01-23 22:21:13,0.4839
2024-01-23 22:20:13,0.4712
2024-01-23 22:19:13,0.4954
2024-01-23 22:18:13,0.4879
2024-01-23 22:17:13,0.4914
2024-01-23 22:16:13,0.4850
2024-01-23 22:15:13,0.4917
2024-01-23 22:14:13,0.4837
2024-01-23 22:13:13,0.5063
2024-01-23 22:12:13,0.4814
2024-01-23 22:11:13,0.4854
2024-01-23 22:10:13,0.4750
2024-01-23 22:09:13,0.4845
2024-01-23 22:08:13,0.4813
2024-01-23 22:07:13,0.4904
2024-01-23 22:06:13,0.4886
2024-01-23 22:05:13,0.4919
2024-01-23 22:04:13,0.4834
2024-01-23 22:03:13,0.4882
2024-01-23 22:02:13,0.4907
2024-01-23 22:01:13,0.4933
2024-01-23 22:00:13,0.4750
2024-01-23 21:59:13,0.4797
2024-01-23 21:58:13,0.4715
2024-01-23 21:57:13,0.4726
2024-01-23 21:56:13,0.4705
2024-01-23 21:55:13,0.4828
2024-01-23 21:54:13,0.4681
2024-01-23 21:53:13,0.4795
2024-01-23 21:52:13,0.4682
2024-01-23 21:51:13,0.4742
2024-01-23 21:50:13,0.4637
2024-01-23 21:49:13,0.4745
2024-01-23 21:48:13,0.4708
2024-01-23 21:47:13,0.4871
2024-01-23 21:46:13,0.4730
2024-01-23 21:45:13,0.4844
2024-01-23 21:44:13,0.4717
2024-01-23 21:43:13,0.4805
2024-01-23 21:42:13,0.4709
2024-01-23 21:41:13,0.4864
2024-01-23 21:40:13,0.4752
2024-01-23 21:39:13,0.4785
2024-01-23 21:38:13,0.4798
2024-01-23 21:37:13,0.4932
2024-01-23 21:36:13,0.4887
2024-01-23 21:35:13,0.4991
2024-01-23 21:34:13,0.4982
2024-01-23 21:33:13,0.4963
2024-01-23 21:32:13,0.5053
2024-01-23 21:31:13,0.5035
2024-01-23 21:30:13,0.4934
2024-01-23 21:29:13,0.5038
2024-01-23 21:28:13,0.4870
2024-01-23 21:27:13,0.4910
2024-01-23 21:26:13,0.4941
2024-01-23 21:25:13,0.4956
